Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
04.01.2022;305,51000;305,22000;308,80000;301,63000;53270410
03.01.2022;295,90000;302,70000;303,88000;296,00000;50183170
30.12.2021;293,60000;293,62000;294,68000;291,52000;42567960
29.12.2021;295,05000;292,80000;295,55000;291,33000;37673290
28.12.2021;295,84000;296,04000;297,55000;294,18000;37859030
27.12.2021;294,76000;295,03000;296,00000;293,37000;35734540
24.12.2021;292,92000;293,85000;294,18000;289,00000;37671250
23.12.2021;294,68000;294,30000;298,10000;291,26000;55534990
22.12.2021;291,80000;295,20000;297,23000;289,23000;63860480
21.12.2021;289,80000;290,04000;293,00000;286,76000;64934720
20.12.2021;293,11000;288,00000;290,44000;285,63000;79679000
17.12.2021;295,00000;295,66000;296,73000;291,61000;109770570
16.12.2021;287,70000;298,55000;298,70000;288,57000;134813120
15.12.2021;284,90000;280,46000;287,55000;279,44000;87523240
14.12.2021;280,20000;282,08000;286,09000;272,08000;176483200
13.12.2021;298,23000;282,57000;300,99000;281,03000;146312930
10.12.2021;300,50000;295,00000;304,28000;294,59000;82046160
09.12.2021;297,49000;302,60000;304,94000;292,70000;133933650
08.12.2021;310,99000;291,57000;316,88000;291,57000;241043180
07.12.2021;307,14000;308,00000;312,80000;300,50000;154172870
06.12.2021;322,00000;304,91000;324,00000;304,70000;99688200
03.12.2021;327,60000;320,34000;328,95000;320,14000;43107850
02.12.2021;325,40000;325,50000;329,00000;320,54000;61450200
01.12.2021;321,30000;328,82000;329,01000;319,51000;69948230
30.11.2021;311,00000;318,58000;318,58000;310,09000;98214880
29.11.2021;311,11000;316,90000;322,15000;309,42000;82626540
